Audience segment,Audience segment state,Campaign,Ad group,Currency code,Ad group default max. CPC,Audience segment max CPC,Audience Segment Bid adj.,Targeting Setting,Clicks,Impr.,CTR,Avg. CPC,Cost,Avg. CPM
People not in audiences,Removed,[TOP] Awareness_Display_Gopher&Mole,Ad group 1,USD,0.01,0, --,Targeting,134,"111,620",0.12%,1.71,228.58,2.05
People not in audiences,Removed,BedBug_Leads_New,BB_New,USD,0.01,0, --,Observation,27,245,11.02%,0.87,23.55,96.12
People not in audiences,Removed,BPM - Bedbugs,Bed Bugs,USD,0.01,0, --,Observation,"2,964","61,713",4.80%,5.02,14867.68,240.92
People not in audiences,Removed,BPM - Cockroaches,Cockroaches,USD,0.01,0, --,Observation,100,"10,801",0.93%,4.01,401.11,37.14
People not in audiences,Removed,BPM - Commercial,Comm Pest Control,USD,0.01,0, --,Observation,52,"6,627",0.78%,2.73,141.78,21.39
People not in audiences,Removed,BPM - Flea & Tick,Flea and Tick,USD,0.01,0, --,Observation,189,"8,547",2.21%,4.60,868.60,101.63
People not in audiences,Removed,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0, --,Observation,"1,567","55,979",2.80%,5.17,8106.29,144.81
People not in audiences,Removed,BPM - Mosquitos,Mosquito Removal,USD,0.01,0, --,Observation,265,"20,196",1.31%,3.99,1058.37,52.41
People not in audiences,Removed,BPM - Rats & Mice,Rats & Mice,USD,0.01,0, --,Observation,"1,123","19,949",5.63%,6.11,6864.61,344.11
People not in audiences,Removed,BPM - Residential,Res Pest Control,USD,0.01,0, --,Observation,"1,752","43,811",4.00%,6.99,12243.80,279.47
People not in audiences,Removed,BPM - Termites,Termite Inspection,USD,0.01,0, --,Observation,65,"14,604",0.45%,1.90,123.50,8.46
People not in audiences,Removed,BPM - Termites,Termites,USD,0.01,0, --,Observation,301,"17,506",1.72%,6.27,1888.28,107.86
