Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
24 hour exterminator,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Bed Bugs,USD,0.01,4,91,4.40%,6.45,25.79,31.82%,81.82%,0.00,0,0,0.00%,283.41
a bed bug,Eligible,,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,1,18,5.56%,0.45,0.45,0.00%,0.00%,0.00,0,0,0.00%,25.00
a bed bug,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Bed Bugs,USD,0.01,20,"1,031",1.94%,4.26,85.27,29.04%,94.13%,0.00,0,0,0.00%,82.71
a mosquito,Not eligible,campaign paused,Broad match,BPM - Mosquitos,Mosquito Removal,USD,0.01,12,408,2.94%,4.45,53.43,33.33%,86.32%,0.00,0,0,0.00%,130.96
a mosquito,Not eligible,campaign paused,Broad match,Priority Pest,Mosquito Removal,USD,0.01,23,843,2.73%,1.76,40.55,29.70%,75.27%,1.00,0,40.55,4.35%,48.10
a pest control,Removed,campaign paused; removed,Phrase match,Priority Pest,Res Pest Control,USD,0,0,2,0.00%,0,0.00,0.00%,50.00%,0.00,0,0,0,0.00
a pest control,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,9,517,1.74%,5.93,53.33,40.30%,89.55%,0.00,0,0,0.00%,103.15
a pest control,Not eligible,campaign paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,4,176,2.27%,3.51,14.03,25.61%,86.59%,0.00,0,0,0.00%,79.72
a+ pest control reviews,Eligible,,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
a+ pest control reviews,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Bed Bugs,USD,0.01,0,1,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
abc pest control okc,Paused,campaign paused; paused; rarely served,Phrase match,BPM - Residential,Res Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
abc pest control okc,Removed,campaign paused; removed,Phrase match,Priority Pest,Res Pest Control,USD,0,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
affordable pest control,Eligible,,Broad match,Warm_Weather_03-10,General Pest,USD,0.01,0,2,0.00%,0,0.00,100.00%,100.00%,0.00,0,0,0,0.00
affordable pest control near me,Removed,campaign paused; removed,Phrase match,Priority Pest,Res Pest Control,USD,0,1,11,9.09%,8.82,8.82,27.27%,63.64%,0.00,0,0,0.00%,801.82
affordable pest control near me,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,4,38,10.53%,9.90,39.61,42.86%,80.95%,0.00,0,0,0.00%,1042.37
affordable pest control near me,Not eligible,campaign paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,9,83,10.84%,11.03,99.30,38.46%,69.23%,2.00,0,49.65,22.22%,1196.39
affordable pest control okc,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,4,45,8.89%,10.94,43.76,48.00%,64.00%,2.00,0,21.88,50.00%,972.44
affordable pest control okc,Not eligible,campaign paused,Broad match,Priority Pest,Res Pest Control,USD,0.01,4,66,6.06%,8.27,33.08,16.95%,62.71%,1.00,0,33.08,25.00%,501.21
affordable pest control OKC,Eligible,,Broad match,Warm_Weather_03-10,General Pest,USD,0.01,1,1,100.00%,17.06,17.06,0.00%,100.00%,1.00,0,17.06,100.00%,17060.00
aimvo pest control,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,0,29,0.00%,0,0.00,41.67%,100.00%,0.00,0,0,0,0.00
aimvo pest control,Not eligible,campaign paused; low quality,Broad match,BPM - Residential,Res Pest Control,USD,0.01,8,155,5.16%,8.57,68.55,43.51%,92.86%,0.00,0,0,0.00%,442.26
all green lawn and pest,Not eligible,campaign paused,Broad match,Priority Pest,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
all natural pest control,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Bed Bugs,USD,0.01,3,132,2.27%,8.10,24.31,42.31%,96.15%,0.00,0,0,0.00%,184.17
all seasons pest control,Paused,campaign paused; paused,Broad match,Priority Pest,Comm Pest Control,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
alpha omega pest control,Paused,paused,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
alpha omega pest control,Paused,campaign paused; ad group paused; paused; low quality,Broad match,Priority Pest,Bed Bugs,USD,0.01,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
alpha omega pest control,Not eligible,campaign paused; ad group paused; low quality,Broad match,Priority Pest,Rats & Mice,USD,0.01,0,10,0.00%,0,0.00,66.67%,66.67%,0.00,0,0,0,0.00
alpha omega pest control norman ok,Eligible,,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,1,6,16.67%,4.81,4.81,33.33%,83.33%,0.00,0,0,0.00%,801.67
alpha omega pest control norman ok,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Bed Bugs,USD,0.01,0,1,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
alpha pest solutions,Paused,paused,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
alpha pest solutions,Paused,campaign paused; ad group paused; paused; low quality,Broad match,Priority Pest,Bed Bugs,USD,0.01,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
alpine exterminators,Paused,paused,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
alpine exterminators,Paused,campaign paused; ad group paused; paused; low quality,Broad match,Priority Pest,Bed Bugs,USD,0.01,1,4,25.00%,2.40,2.40,25.00%,100.00%,0.00,0,0,0.00%,600.00
alta pest control,Paused,campaign paused; ad group paused; paused; low quality,Broad match,Priority Pest,Bed Bugs,USD,0.01,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
anay treatment,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
animal and pest control,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,34,0.00%,0,0.00,58.82%,88.24%,0.00,0,0,0,0.00
animal exterminator,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,13,0.00%,0,0.00,33.33%,100.00%,0.00,0,0,0,0.00
animal exterminator near me,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,2,45,4.44%,9.52,19.04,37.04%,81.48%,0.00,0,0,0.00%,423.11
animal pest,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,27,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
animal pest control services,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
animal removal,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,0,2,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
animal removal near me,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,0,2,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
animal removal service,Not eligible,campaign paused,Broad match,BPM - Residential,Res Pest Control,USD,0.01,1,30,3.33%,4.09,4.09,54.55%,81.82%,0.00,0,0,0.00%,136.33
animal wildlife removal,Not eligible,campaign paused,Broad match,Priority Pest,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
animal wildlife services,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
annual termite inspection cost,Not eligible,campaign paused,Broad match,BPM - Termites,Termite Inspection,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
annual termite inspection cost,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Termite Inspection,USD,0.01,2,47,4.26%,10.56,21.12,28.26%,71.74%,0.00,0,0,0.00%,449.36
annual termite inspection cost,Not eligible,campaign paused; ad group removed,Broad match,Priority Pest,Termite Inspection,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
annual termite inspection cost,Not eligible,campaign paused; ad group removed,Broad match,Priority Pest,Termite Inspection,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant and bug control,Eligible,,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,1,14,7.14%,0.40,0.40,0,0,0.00,0,0,0.00%,28.57
ant and pest,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant and pest,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,7,194,3.61%,1.50,10.51,18.52%,46.56%,0.00,0,0,0.00%,54.18
Ant and pest control near me,Removed,campaign paused; removed,Exact match,Priority Pest,Ants,USD,0,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
ant bug,Eligible,,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,0,21,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
ant colony,Removed,campaign paused; removed,Phrase match,Priority Pest,Ants,USD,0,0,2,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
ant colony,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant colony,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,1,56,1.79%,5.10,5.10,35.29%,52.94%,0.00,0,0,0.00%,91.07
ant control,Removed,campaign paused; removed,Exact match,Priority Pest,Ants,USD,0,13,206,6.31%,1.10,14.35,16.26%,96.55%,0.00,0,0,0.00%,69.66
ant control,Removed,campaign paused; removed,Broad match,Priority Pest,Comm Pest Control,USD,0,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
ant control,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant control,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,14,408,3.43%,2.39,33.48,27.02%,75.76%,0.00,0,0,0.00%,82.06
ant control companies,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant control in,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant control okc,Eligible,,Broad match,BPM - Bedbugs,Bed Bugs,USD,0.01,0,10,0.00%,0,0.00,60.00%,90.00%,0.00,0,0,0,0.00
ant control okc,Removed,campaign paused; ad group paused; removed,Phrase match,Priority Pest,Bed Bugs,USD,0,0,3,0.00%,0,0.00,0.00%,66.67%,0.00,0,0,0,0.00
ant control okc,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Bed Bugs,USD,0.01,0,7,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
ant control service,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant control services OKC,Not eligible,ad group removed; rarely served,Broad match,Warm_Weather_03-10,Ant,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant control treatment,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,14,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
ant extermination services,Not eligible,ad group removed,Broad match,Warm_Weather_03-10,Ant,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant exterminator,Removed,campaign paused; removed,Phrase match,Priority Pest,Ants,USD,0,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
ant exterminator company,Eligible,,Broad match,Warm_Weather_03-10,General Pest,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant exterminator near me,Removed,campaign paused; ad group paused; removed,Phrase match,Priority Pest,Bed Bugs,USD,0,0,3,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
ant exterminator near me,Not eligible,campaign paused; ad group paused,Broad match,Priority Pest,Bed Bugs,USD,0.01,0,3,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
ant hole,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant hole,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,0,6,0.00%,0,0.00,33.33%,83.33%,0.00,0,0,0,0.00
ant infestation,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant infestation,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,8,208,3.85%,1.36,10.87,21.74%,76.81%,0.00,0,0,0.00%,52.26
ant infestation control,Eligible,,Broad match,Warm_Weather_03-10,Mole & Gopher,USD,0.01,0,8,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
ant infestation exterminator,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant infestation treatment,Not eligible,ad group removed,Broad match,Warm_Weather_03-10,Ant,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant killer,Paused,campaign paused; ad group paused; paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant killer,Removed,campaign paused; removed,Broad match,Priority Pest,Ants,USD,0,71,869,8.17%,1.18,83.97,21.39%,85.90%,0.00,0,0,0.00%,96.63
ant killer,Removed,campaign paused; removed,Broad match,Priority Pest,Res Pest Control,USD,0,1,67,1.49%,1.39,1.39,26.23%,77.05%,0.00,0,0,0.00%,20.75
ant killer spray outdoor,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant killer spray outdoor,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant pest control,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant pest control,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,31,700,4.43%,1.31,40.57,21.90%,66.47%,0.00,0,0,0.00%,57.96
ant pest control near me,Not eligible,ad group removed,Broad match,Warm_Weather_03-10,Ant,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant removal,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant removal,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,68,"1,084",6.27%,1.25,85.07,24.65%,89.18%,0.00,0,0,0.00%,78.48
ant removal company,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant removal OKC,Not eligible,ad group removed,Broad match,Warm_Weather_03-10,Ant,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant removal service,Not eligible,campaign paused,Broad match,BPM - Mole & Gopher,Mole and Gopher,USD,0.01,2,20,10.00%,0.43,0.85,0,0,0.00,0,0,0.00%,42.50
ant repellent,Paused,campaign paused; ad group paused; paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant repellent,Paused,campaign paused; paused,Broad match,Priority Pest,Ants,USD,0.01,14,244,5.74%,1.32,18.44,25.52%,89.12%,0.00,0,0,0.00%,75.57
ant repellent house,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant repellent house,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,6,87,6.90%,1.30,7.78,22.99%,94.25%,0.00,0,0,0.00%,89.43
ant service,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ant service,Not eligible,campaign paused,Broad match,Priority Pest,Ants,USD,0.01,0,4,0.00%,0,0.00,0.00%,75.00%,0.00,0,0,0,0.00
ant spray indoors,Not eligible,campaign paused; ad group paused,Broad match,BPM - Residential,Ants,USD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
